threads,time_seconds,speedup,efficiency
1,2128.061723,1.007290,1.007290
2,1646.575298,1.301838,0.650919
4,903.639111,2.372158,0.593040
8,466.080957,4.599148,0.574893
12,360.355455,5.948502,0.495708
